domain,label,class
pcbnsnojsykpdmfbrfp.ug,dga.necurs,1
ncnfbandmddnbdcl.net,,1
nbg9gnkgbjzfq.com,,1
xcmgqnmveieb.so,,1
onanisuta.com,normal.alexa,0
vk-book.ru,normal.alexa,0
teatropablotobon.com,normal.alexa,0
institutosmas.com.ar,normal.alexa,0
1w7wsg01cvj6herz4pxg1vaxx9z.org,,1
faxpgbwsas.org,,1
installment4u.com.pk,normal.alexa,0
jrgptpxlolpikl.biz,,1
a4yvsfgrk2mdyvyfitepqxk.ddns.net,,1
cpounjkcxuabkjkdofi.com,dga.ramnit,1
ihkiugrtxxp5.com,,1
lxfynkkolc.com,,1
delightstudio.ru,normal.alexa,0
9tkgca5pnm.net,,1
vgat.net,normal.alexa,0
d5ys.net,normal.alexa,0
bullmgo.info,,1
v8opvc7bp3efqhwdrj.ru,,1
vjkykuu.net,,1
sozkawup.ru,dga.pushdo,1
vkffekfzlinfmvowqkqcpfytbe.ru,,1
dblemkbmombodffd.cc,,1
mos.co.jp,normal.alexa,0
nx9eekh6i4432vkq01mvo9vu.biz,dga.post,1
rdot.org,normal.alexa,0
mysubtitlesrt.com,normal.alexa,0
yaosai.com,normal.alexa,0
seha.com.tr,normal.alexa,0
frugals.ca,normal.alexa,0
companiess.com,normal.alexa,0
turzagranicu.ru,normal.alexa,0
hefjjjotmmuu.com,,1
listingbook.com,normal.alexa,0
sasaustin.org,normal.alexa,0
nettetescil.com,normal.alexa,0
buzzoole.com,normal.alexa,0
etravels.cn,normal.alexa,0
takingprofit.ru,normal.alexa,0
wb3p7uwdvgmw7vfyov.net,,1
56mls8k6adwt5bu236q.ddns.net,,1
trickcowstormbottleparent.com,,1
cekos.rs,normal.alexa,0
h4v4bx8upcwsg31v551rbmwl3.net,,1
qbqctbt.info,,1
xe71bn7sw1od7rhrh5.net,,1
donotshotnigers.com,,1
alcatel-sbell.com.cn,normal.alexa,0
jeepkids.tmall.com,normal.alexa,0
kbookmarkshop.com,normal.alexa,0
nvtcvimt.com,,1
nintendoeverything.com,normal.alexa,0
qktgyjgfmcuwv.biz,dga.cryptolocker,1
odmvaqywwctlfr.com,,1
ulebkdyf.top,,1
zpmyowywdnsfbwsdaidr.info,,1
rtgjkaiediyubk.tw,dga.ranbyus,1
okhelp.cz,normal.alexa,0
icehitz.com,normal.alexa,0
virtualizationhowto.com,normal.alexa,0
rkwprfkplwfnsrrg.info,,1
continental-reifen.de,normal.alexa,0
ebookyhoc.com,normal.alexa,0
arscenic.org,normal.alexa,0
qqma.com,normal.alexa,0
1wv8lj71r92grbvuxyoq1lzsdiz.com,,1
ns1.dnsfor9.net,,1
15rm7kw1owrr2w1121i0rwg3alu.net,,1
theworldin.com,normal.alexa,0
spaandpoolstore.com,normal.alexa,0
ironholebookbonesmellturn.com,dga.matsnu,1
peda.gov.in,normal.alexa,0
rebeccannemontgomery.net,,1
3unk.com,normal.alexa,0
quicktate.com,normal.alexa,0
newsking.gr,normal.alexa,0
kuizina.com,normal.alexa,0
c7w3lffcgxcylrcm.org,,1
rusichi-center.ru,normal.alexa,0
cas.ru,normal.alexa,0
sxdeopjeuqrnhwqmo.info,,1
xkcibkc.info,,1
exfactorguide.com,normal.alexa,0
findaccountingsoftware.com,normal.alexa,0
pxqpanerraticallyqozaw.com,dga.banjori,1
jqw.com,normal.alexa,0
vnajw7xeyl661klc5841iwpuz9.org,dga.post,1
coinfreebtcve.com,normal.alexa,0
wibis.gr,normal.alexa,0
shopmiamihurricanes.com,normal.alexa,0
ebony-fucked-tubes.com,normal.alexa,0
ldlgvinskycattederifg.com,dga.banjori,1
ns1.dnsfor8.net,,1
ciasgsssoyokiiyc.org,,1
ctjnhgay.com,,1
regeneron.com,normal.alexa,0
p9c9fc53552ea79e7ce5be10d1cc1c2c54.in,,1
guesser.email,normal.alexa,0
ponury.net,normal.alexa,0
lyaaxxclffiiljfkt.com,,1
gjxmppzjcqpnuxnq.biz,,1
mbbcmacbcmbaoalf.online,,1
ilmuternak.com,normal.alexa,0
izuminki.com,normal.alexa,0
the-movie-times.com,normal.alexa,0
austinsymphony.org,normal.alexa,0
yukseklisans.com.tr,normal.alexa,0
1eynxb81xek2g0fycaoy7xjhy6.com,,1
prhtyq.com,,1
ujtyzqjcb.info,,1
christabelsappington.net,,1
greengluecompany.com,normal.alexa,0
erk1qr01mbk1.org,,1
mwadqdc.dynserv.com,,1
oceanspray.com,normal.alexa,0
batiburrillo.net,normal.alexa,0
ganaf.com,normal.alexa,0
synigoroskatanaloti.gr,normal.alexa,0
zrayxq.com,,1
gdsjuxm.com,,1
midori-anzen.co.jp,normal.alexa,0
mwmvdiiugkeq.biz,dga.pykspa,1
euq0d2hbi9l5ow6x.cn,,1
shadysrour.net,normal.alexa,0
elqdmtovev.org,,1
native.ad,normal.alexa,0
nbcneb.com,normal.alexa,0
ikdivhzgu.info,,1
brankic1979.com,normal.alexa,0
vufbjptgkifsly.su,,1
canakkalememleket.com,normal.alexa,0
landybridal.co,normal.alexa,0
egmqpncb.com,,1
sdidsmxdmufbmfxec.cc,,1
quiznightchief.com,normal.alexa,0
competitivedge.com,normal.alexa,0
hackscheats.net,normal.alexa,0
tinykesu.com,normal.alexa,0
freeanimal-porn.com,normal.alexa,0
18u88rv1ouc2js1n20c2niabe5.biz,,1
suvmsxwdicsne.info,,1
frantic.com.pl,normal.alexa,0
cassinellimuscle.com,normal.alexa,0
kefdq.tmall.com,normal.alexa,0
runningstreet365.com,normal.alexa,0
ukpreppersguide.co.uk,normal.alexa,0
mpngngsscgtsytk.org,,1
b2b168.com,normal.alexa,0
s4d0f328ea782876dcef536c807eb34b70.tk,,1
canadapostalcodes.net,normal.alexa,0
etadobeflagshplayer.co.uk,,1
nozhevoy.ru,normal.alexa,0
masinyf.info,dga.simda,1
mut.ac.ir,normal.alexa,0
iznihqfqbex.com,,1
seans.pl,normal.alexa,0
ntelos.com,normal.alexa,0
dkcbonaddmalcbem.com,,1
shwoodshop.com,normal.alexa,0
conranshop.fr,normal.alexa,0
neontrauma.de,normal.alexa,0
xp5mly8lxgzos8vkbs.net,,1
discoverforever.com,normal.alexa,0
pfsnnmsfkrqmnfvjf.com,,1
ennthykiodqagohe.eu,,1
iidx.jp,normal.alexa,0
robot-de-forex.com,normal.alexa,0
guitarprofi.ru,normal.alexa,0
eefilmnqqdqq.com,,1
zhihuishu.com,normal.alexa,0
lyvqvgbula.ru,,1
1j49f1fzrm7lc1k0cvw3vne6mz.net,,1
wamoeb.com,,1
pc-help.cz,normal.alexa,0
a3cqmmlqemnwgxri.com,,1
zhiyinlou.com,normal.alexa,0
bittenus.com,normal.alexa,0
360docs.net,normal.alexa,0
qidqvwmvivjpbvnktjt.com,dga.ramnit,1
astrujvxmrh.cn,,1
iedzvuyxzihzdwccayx.com,,1
gouskids.com,normal.alexa,0
laptopmexico.com,normal.alexa,0
eukhrvcjdthqtrj.info,,1
americanstandard-us.com,normal.alexa,0
ouyrntorgjsefnnb.eu,,1
catawiki.com,normal.alexa,0
ooafbfndccabfbkb.co.uk,,1
tivieglaexapo.ddns.net,,1
cursormania.com,normal.alexa,0
roymech.co.uk,normal.alexa,0
nbk.io,normal.alexa,0
mtywotiwmtya.org,,1
bankofcolorado.com,normal.alexa,0
upmjafitoti.com,,1
normeetributi.it,normal.alexa,0
furvdvt.cc,,1
xaekzqqsocfaanrgasd.com,,1
yqymepkns.biz,,1
c17068acd28efef7554f107a3eadad14.org,,1
dafo1q7ctenw.com,,1
1cmgisnztvwq115fmmws1wm1qvq.biz,,1
sibopjthvw.eu,,1
hesabet.com,normal.alexa,0
liputan.co.id,normal.alexa,0
cicveiwu.ru,,1
yahomail.com,normal.alexa,0
vqxqdgpszaj.info,,1
dycowxkowravcl.cc,,1
checkthatvin.com,normal.alexa,0
i0cbf85a18b08cb70887b07fe1e3315775.tk,,1
unicefusa.org,normal.alexa,0
20151030.cc,normal.alexa,0
jvqwfemzrkifnzordyphseyzhyjv.ru,,1
elvzol.dyndns.org,,1
masterofmalt.com,normal.alexa,0
programworkshop.com,normal.alexa,0
3robanews.com,normal.alexa,0
zenrin-net.co.jp,normal.alexa,0
lfzija2efwzsjszv.cn,,1
fnxjpqkcpsxj.com,,1
blackpantera.ru,normal.alexa,0
a1z6n9z0ae2mth327plf4xwu.net,,1
imkfiptcafwu.co.uk,,1
travelogwithjem.com,normal.alexa,0
u7459c1ab0da14dac8b850698c51222c63.tk,,1
gkegshtdsgnrahxh.com,,1
tjjcvik.cc,,1
sultangaziarcelikservisi.com,normal.alexa,0
aieaeeovderi.biz,,1
nao.ac.jp,normal.alexa,0
bwdnfgbvgbsi.xyz,dga.tinba,1
4bg.info,normal.alexa,0
plombier-paris-15-urgent.fr,normal.alexa,0
speedway.com,normal.alexa,0
1ykwekv1dukmjs11bke1w19bk6ve.net,,1
transmilenio.gov.co,normal.alexa,0
sasayama.jp,normal.alexa,0
yzk1ir4xyrcl.net,,1
vgaifbvhellqace.co.uk,,1
omhhisuiwcymao.net,,1
msmediagra.gov.in,normal.alexa,0
kniga-diva.ru,normal.alexa,0
cjsyhtoakj.ru,,1
metaltoad.com,normal.alexa,0
nadir.com.br,normal.alexa,0
gestionhumana.com,normal.alexa,0
headsupenglish.com,normal.alexa,0
dgfghgfrvkcy.com,dga.tinba,1
medviewairline.com,normal.alexa,0
gopczg.com,,1
sterlingbackcheck.com,normal.alexa,0
synergydrinks.com,normal.alexa,0
kakdelatdengi.ru,normal.alexa,0
hezxtgyaxev.com,,1
q56ksjndah512k5yyr17easrq.biz,dga.post,1
khcc.gov.tw,normal.alexa,0
milka.es,normal.alexa,0
1rc572r1ktuf151oiah8wzidfv1.com,,1
autoshopowner.com,normal.alexa,0
ns1.backdates8.net,,1
yjbpmtmkirzdyddch.net,,1
mikesmithdev.com,normal.alexa,0
loudsound.su,normal.alexa,0
xrkqpbidobrix9.com,,1
ad5z4iuajt1obrj.com,,1
offtowork.co.uk,normal.alexa,0
wpboard.net,normal.alexa,0
fbmfcdcafkbddafb.org,,1
1mx9qm617qa4el1cwek2l2ihibr.net,,1
clmrbpcjvgu7e.com,,1
tgztyxlbnzwkrqsduwjzvgz.ru,,1
otdjphnuvnjfnox.com,,1
usaweekly.me,normal.alexa,0
xfhwestnessbiophysicalohax.com,dga.banjori,1
dimitriskarras.com,normal.alexa,0
xdqaxliajyu.ru,,1
nevrpgpufxlmsnqx.org,,1
beceuolhxkpqgqkhmyyheu.ru,,1
1qjkti3kpir4.top,,1
j-mac.or.jp,normal.alexa,0
az-net.ir,normal.alexa,0
fickra.com,normal.alexa,0
ipqaqvva.com,,1
ninepr.16mb.com,normal.alexa,0
j26b68pri35nrasewiwe31m49mxlrgvlze11ps.ru,,1
compnow.com.au,normal.alexa,0
zymanga.com,normal.alexa,0
flowdee.de,normal.alexa,0
aliceapp.com,normal.alexa,0
jccshecavdglapig1z.net,dga.rovnix,1
91v3p.co,normal.alexa,0
vimeotomp3.com,normal.alexa,0
outsourceimage.com,normal.alexa,0
yb4hyn01ejkp.com,,1
ttfhvinskycattederifg.com,dga.banjori,1
ledfon.com,normal.alexa,0
loivreid.ddns.net,,1
lieronerg.ddns.net,,1
mamejiten.com,normal.alexa,0
terraltech.com,normal.alexa,0
turkdown.com,normal.alexa,0
swyumkpyqwqvp.com,,1
wiltingwoonidee.nl,normal.alexa,0
unemploymentapply.com,normal.alexa,0
14pxrzx3o7lpn4by89z154fvgk.com,,1
wqutsfjtrljvomf.net,,1
bancuasung.com,normal.alexa,0
youmustbetrippin.com,normal.alexa,0
znouiferbfetcxpy.com,,1
explanationarecowdoubttank.com,,1
japanesemegagirls.com,normal.alexa,0
caisses-sociales.mc,normal.alexa,0
thuemualanvn.blogspot.com,normal.alexa,0
reference.md,normal.alexa,0
tlg21qjzzb5.net,,1
obwjmpudi.org,,1
tiendamall.com,normal.alexa,0
dg-yug.ru,normal.alexa,0
fanafalcon.com.ar,normal.alexa,0
qjbuzuce.cc,,1
gelish.com,normal.alexa,0
feumjch.info,,1
mupcxvyqap.cn,,1
qqyehhyyulxu.xyz,,1
alfange.link,normal.alexa,0
submitmyarticless.com,normal.alexa,0
lvgwokthfpvulxx.net,,1
putlockere.com,normal.alexa,0
reporter-24.com,normal.alexa,0
elec-cigs.co.uk,normal.alexa,0
vestia.nl,normal.alexa,0
themedicplace.com,normal.alexa,0
clickhoofind.com,normal.alexa,0
1minutemailer.com,normal.alexa,0
fgnncoxufydy.com,dga.tinba,1
vnrum.com,normal.alexa,0
livealoe.com.br,normal.alexa,0
taxes.gov.il,normal.alexa,0
titaniumpaladium.com,,1
ujvbvwbhkvgqqfdqc.su,,1
kgufvwiwbotgh.com,,1
ulslursnqj.top,,1
nutrytec.es,normal.alexa,0
plusgamer.com,normal.alexa,0
vme1zjj8ambz1qhp5pm1bkkedi.org,,1
ymagonf.net,,1
parentattemptmodelstuffguy.com,,1
princetronics.com,normal.alexa,0
1caf3baa4dcc256028e6b5121a1b633d.info,,1
idibxisuf.ddns.net,,1
roizdvcjfbevsnzskjnjfbemfxhex.com,,1
methodcash.com,normal.alexa,0
photojaanic.com,normal.alexa,0
dxtah.info,,1
vadtibemmkve.ru,,1
intrac.org,normal.alexa,0
8dexpress.com,normal.alexa,0
marcelotorresweb.com,normal.alexa,0
mchwtb.info,,1
iy6tfymgqkqhlqzu2e.cn,,1
screen4screen.com,normal.alexa,0
ceadobat.ru,,1
lostsaga.com,normal.alexa,0
puwokjxztzsottwkjaqsceqkj.biz,,1
cnwrrdpixq11.com,,1
ey4lzcvclcz2t.com,,1
f1-gate.com,normal.alexa,0
iranak.org,normal.alexa,0
busesplus.com,normal.alexa,0
thefrankmedrano.com,normal.alexa,0
selaputdaraperawan.net,normal.alexa,0
of6f3162767bea2f745d2e5460ad0714fc.hk,,1
yasmkqiqwesoaaie.org,,1
packbarre.com,normal.alexa,0
alwasluae.com,normal.alexa,0
taiwanviptravel.com,normal.alexa,0
jmknvkxjrn.se,,1
besttechguru.in,normal.alexa,0
24elieprb9um3v9.com,,1
tdmzdtsljvsbyojlmbwonvxsdh.ru,,1
y059d2f4dbe91204af1c5ae2fbc0ee4ca5.tk,,1
ctimls.com,normal.alexa,0
uwgnykrkdnmoa.com,,1
ns1.backdates12.info,,1
ckbgocckmtsf.com,,1
u97cd18f71354fc729ad956033c95fc4b1.cc,,1
dkncppbgk.com,,1
servings.org,normal.alexa,0
sbtonline.in,normal.alexa,0
qgmbcu.com,,1
icqxcphjgohvtmjrc.net,,1
otacoo.com,normal.alexa,0
oczasemitismgavenuteq.com,,1
ltghdg.com,,1
afriled.co.za,normal.alexa,0
reefcompany.com,normal.alexa,0
you85.cn,normal.alexa,0
dunlop.co.jp,normal.alexa,0
ne3d151b717ecb40976a40863519199734.in,,1
kundenserver42.de,normal.alexa,0
pariscraft.com,normal.alexa,0
myshiftwizard.com,normal.alexa,0
q74l2bgpaj0t.net,,1
eredotnterxplo.net,,1
ulasgadget.com,normal.alexa,0
fandimefilmu.cz,normal.alexa,0
tdn-net.com,normal.alexa,0
ondarock.it,normal.alexa,0
howto-money.org,normal.alexa,0
19nt02mdmd993q4a4zbsto8mq.org,,1
fnkdqyeddnvfanxx.eu,,1
yfkgdvewl.ru,,1
ns1.dnsfor14.info,,1
eurosport.cz,normal.alexa,0
humanitarianresponse.info,normal.alexa,0
lcdeodrpdkrrpuy.com,,1
ashplayerlgetadobef.net,,1
qelgbgoqtr.com,,1
ubietylab.net,normal.alexa,0
gjolyz7dbhcvdros.cn,,1
duty-freespb.ru,normal.alexa,0
f11f2c696a0859595a4c60db991b8a3b.co.cc,,1
boykvm.name,,1
101wmw.com,normal.alexa,0
medicalexpo.it,normal.alexa,0
nwk47lriqowntlulsivdtoukufreshulq.net,,1
w8h1xujro3gsxc64zz.ru,,1
hxvadvideqaztbanqr.com,,1
qwtzjokvjfvecysgypbd.com,,1
oruvmxyxzohjfyihv.org,,1
drinkvintage.com,normal.alexa,0
manufacturermilkwishtaxturn.com,,1
newscronaca.it,normal.alexa,0
euymorcajanunal.com,dga.banjori,1
ahvecoup.ddns.net,,1
onlinevideohd.ru,normal.alexa,0
b0xqnkty3496.net,,1
rechargercommandernavigo.fr,normal.alexa,0
eoxvwakuvuitxb.ru,,1
ncge.org,normal.alexa,0
jeulin.fr,normal.alexa,0
stardust-member.jp,normal.alexa,0
ifn-modern.com,normal.alexa,0
mokoshig.com,normal.alexa,0
folhabaiana.com,normal.alexa,0
baadedfnndaaabbc.co,,1
nixtelefon.org,normal.alexa,0
mafmohah.ru,,1
ordercontinuepauseadmire.com,,1
lxsdciug.biz,,1
leaderkid.com.tw,normal.alexa,0
bitdefenderme.ir,normal.alexa,0
ovenhabitticketinfluence.com,,1
ouma.jp,normal.alexa,0
bobbiskozykitchen.com,normal.alexa,0
delawarepark.com,normal.alexa,0
jvklmfcwqfgg.com,,1
smartbuyglasses.com,normal.alexa,0
graphicmania.net,normal.alexa,0
1x6jh7hny80euxaadkyjxw4da.com,,1
restartcomputer.it,normal.alexa,0
abodyuniverse.com,normal.alexa,0
heath-zenith.com,normal.alexa,0
vpiklf.com,,1
bcdehfzlxcaajpfs.cn,,1
viaero.com,normal.alexa,0
y7abb2e97b6bd358b1396557956379088d.tk,,1
videoboytube.com,normal.alexa,0
healthcareplaza.info,normal.alexa,0
djbdxr.info,,1
tkwbtptzotcfloq.org,,1
booufqtqhi.com,,1
zjtelecom.com.cn,normal.alexa,0
mbotunqfeza.ru,,1
